h,k,l,I,sigma
-9,5,-3,18382.0,1277.73
-9,11,-5,1482.19,986.96
-9,17,-7,871.51,938.37
-8,-18,2,-190.47,964.07
-8,-16,2,905.61,1004.94
-8,2,-2,97280.06,1870.39
-8,16,-6,356.41,897.55
-7,-11,1,1931.95,1055.57
-7,13,-5,1588.86,944.03
-7,19,-7,1105.11,901.45
-6,-16,2,2509.28,976.94
-6,-14,2,377.24,968.15
-6,10,-4,9535.89,1039.71
-6,16,-6,300.24,898.35
-5,-19,3,515.99,929.53
-5,-9,1,27364.6,1234.09
-5,15,-5,775.23,942.16
-4,-12,2,1177.8,974.57
-4,12,-4,6709.92,984.31
-4,18,-6,179.84,896.49
-3,-19,3,795.95,890.92
-3,-17,3,1027.03,928.11
-3,-7,1,43549.04,1295.91
-3,9,-3,16059.92,1076.21
-3,15,-5,1123.57,904.77
-2,-10,2,758.3,980.24
-2,6,-2,5923.07,1080.32
-1,-15,3,1125.02,937.52
-1,-5,1,84203.73,1544.82
-1,3,-1,122645.76,1797.9
-1,17,-5,844.5,902.35
0,-20,4,719.21,891.64
0,14,-4,2305.14,955.73
0,20,-6,720.03,900.76
1,-13,3,1540.24,939.99
1,11,-3,4249.68,979.08
1,17,-5,960.68,905.61
2,-20,4,419.75,889.7
2,-18,4,457.36,895.03
3,-11,3,4577.22,964.96
3,13,-3,2274.56,952.13
3,19,-5,933.34,901.65
4,-16,4,1080.58,895.23
4,-6,2,67538.98,1401.39
4,10,-2,23549.42,1122.25
4,16,-4,1361.16,948.65
5,-1,1,196563.23,2417.42
5,7,-1,25341.84,1286.99
5,13,-3,2050.28,986.42
5,19,-5,682.08,941.15
6,-16,4,610.57,927.77
6,-14,4,1107.93,939.7
6,-4,2,83535.98,1566.94
6,4,0,82701.39,1849.28
7,-19,5,855.86,890.52
7,-9,3,6729.19,1013.07
7,15,-3,683.26,977.82
8,-14,4,718.08,934.18
8,-12,4,3342.52,951.87
8,12,-2,349.07,1082.13
8,18,-4,788.27,970.85
9,-19,5,672.76,888.22
9,-17,5,430.68,928.18
9,-7,3,8704.39,1120.59
9,9,-1,6071.86,1240.91
9,15,-3,404.91,1009.68
10,-12,4,948.54,970.59
10,-2,2,683.07,1562.92
10,6,0,25698.6,1637.17
10,12,-2,2360.72,1124.34
10,18,-4,328.59,971.78
11,-17,5,690.33,929.62
12,-10,4,158.57,1041.01
12,14,-2,1577.74,1119.02
13,-15,5,116.97,927.49
13,-5,3,6539.48,1294.45
13,3,1,105499.59,5298.23
13,11,-1,1184.73,1269.8
13,17,-3,794.55,1075.54
14,-10,4,1000.82,1078.53
14,0,2,14704.44,2204.16
14,8,0,2028.58,1529.14
14,14,-2,9.51,1170.31
15,-13,5,940.7,1003.63
15,11,-1,1079.93,1322.66
16,-8,4,758.82,1146.47
16,0,2,2906.55,2138.91
16,8,0,2339.57,1644.36
16,14,-2,124.98,1202.33
17,-3,3,1934.56,1524.59
17,5,1,8474.67,2664.87
18,-8,4,614.23,1198.24
18,2,2,7425.55,3213.22
19,-3,3,1377.57,1546.91
19,5,1,9914.08,4154.13
20,-6,4,834.29,1315.06
20,2,2,8205.35,3241.15
21,-1,3,2122.43,1883.6
-21,1,-5,2579.32,1776.34
-20,-2,-4,7392.17,3515.0
-19,-5,-3,8061.12,3642.39
-19,3,-5,1675.72,1495.53
-18,-8,-2,3111.43,1859.61
-18,0,-4,4032.93,1991.04
-18,8,-6,591.73,1170.1
-17,-13,-1,1757.93,1311.07
-17,-3,-3,117392.69,8055.42
-17,5,-5,736.15,1320.72
-17,11,-7,-569.45,1074.68
-16,-6,-2,5049.51,2207.19
-16,2,-4,1973.02,1586.26
-16,10,-6,1275.13,1112.9
-15,-9,-1,826.31,1522.8
-15,-1,-3,9126.79,2505.16
-15,7,-5,1805.8,1178.97
-15,13,-7,1434.27,1009.64
-14,-14,0,773.72,1171.33
-14,-4,-2,26768.4,3146.72
-14,4,-4,431.33,1324.57
-13,-17,1,1001.8,1071.38
-13,-7,-1,3341.14,1647.21
-13,1,-3,15010.28,1800.07
-13,9,-5,1514.39,1083.02
-13,15,-7,933.06,977.6
-12,-12,0,1268.84,1171.77
-12,-2,-2,477399.97,7669.09
-12,6,-4,1228.95,1179.48
-12,12,-6,1102.93,974.92
-11,-15,1,840.25,1076.02
-11,-5,-1,22166.02,1957.52
-11,3,-3,7672.27,1419.79
-11,17,-7,-66.45,933.7
-10,-8,0,2211.92,1356.71
-10,0,-2,95753.66,2423.71
-10,8,-4,1126.7,1052.53
-10,14,-6,464.88,938.35
-9,-13,1,1276.14,1042.23
-9,-3,-1,113121.41,2858.05
-9,5,-3,18382.0,1277.73
-9,11,-5,1482.19,986.96
-9,17,-7,871.51,938.37
-8,-18,2,-190.47,964.07
-8,-16,2,905.61,1004.94
-8,2,-2,97280.06,1870.39
-8,16,-6,356.41,897.55
-7,-11,1,1931.95,1055.57
-7,13,-5,1588.86,944.03
-7,19,-7,1105.11,901.45
-6,-16,2,2509.28,976.94
-6,-14,2,377.24,968.15
-6,10,-4,9535.89,1039.71
-6,16,-6,300.24,898.35
-5,-19,3,515.99,929.53
-5,-9,1,27364.6,1234.09
-4,-12,2,1177.8,974.57
-4,12,-4,6709.92,984.31
-4,18,-6,179.84,896.49
-3,-17,3,1027.03,928.11
-3,-7,1,43549.04,1295.91
-3,9,-3,16059.92,1076.21
-3,15,-5,1123.57,904.77
-2,-10,2,758.3,980.24
-2,6,-2,5923.07,1080.32
-1,-15,3,1125.02,937.52
-1,-5,1,84203.73,1544.82
-1,3,-1,122645.76,1797.9
-1,17,-5,844.5,902.35
0,-20,4,719.21,891.64
0,14,-4,2305.14,955.73
0,20,-6,720.03,900.76
1,-13,3,1540.24,939.99
1,11,-3,4249.68,979.08
1,17,-5,960.68,905.61
2,-18,4,457.36,895.03
3,-11,3,4577.22,964.96
3,13,-3,2274.56,952.13
3,19,-5,933.34,901.65
4,-16,4,1080.58,895.23
4,-6,2,67538.98,1401.39
4,10,-2,23549.42,1122.25
4,16,-4,1361.16,948.65
5,-1,1,196563.23,2417.42
5,7,-1,25341.84,1286.99
5,13,-3,2050.28,986.42
5,19,-5,682.08,941.15
6,-14,4,1107.93,939.7
6,-4,2,83535.98,1566.94
6,4,0,82701.39,1849.28
7,-19,5,855.86,890.52
7,-9,3,6729.19,1013.07
7,15,-3,683.26,977.82
8,-14,4,718.08,934.18
8,-12,4,3342.52,951.87
8,12,-2,349.07,1082.13
8,18,-4,788.27,970.85
9,-19,5,672.76,888.22
9,-17,5,430.68,928.18
9,-7,3,8704.39,1120.59
9,9,-1,6071.86,1240.91
9,15,-3,404.91,1009.68
10,-12,4,948.54,970.59
10,-2,2,683.07,1562.92
10,6,0,25698.6,1637.17
10,12,-2,2360.72,1124.34
10,18,-4,328.59,971.78
11,-17,5,690.33,929.62
11,-15,5,138.97,925.4
12,-10,4,158.57,1041.01
12,14,-2,1577.74,1119.02
13,-15,5,116.97,927.49
13,-5,3,6539.48,1294.45
13,3,1,105499.59,5298.23
13,11,-1,1184.73,1269.8
13,17,-3,794.55,1075.54
14,-10,4,1000.82,1078.53
14,0,2,14704.44,2204.16
14,8,0,2028.58,1529.14
14,14,-2,9.51,1170.31
15,-13,5,940.7,1003.63
15,11,-1,1079.93,1322.66
16,-8,4,758.82,1146.47
16,0,2,2906.55,2138.91
16,8,0,2339.57,1644.36
16,14,-2,124.98,1202.33
17,-3,3,1934.56,1524.59
17,5,1,8474.67,2664.87
18,-8,4,614.23,1198.24
18,2,2,7425.55,3213.22
19,-3,3,1377.57,1546.91
19,5,1,9914.08,4154.13
20,-6,4,834.29,1315.06
20,2,2,8205.35,3241.15
21,-1,3,2122.43,1883.6
-21,1,-5,2579.32,1776.34
-20,-2,-4,7392.17,3515.0
-19,-5,-3,8061.12,3642.39
-19,3,-5,1675.72,1495.53
-18,-8,-2,3111.43,1859.61
-18,0,-4,4032.93,1991.04
-18,8,-6,591.73,1170.1
-17,-13,-1,1757.93,1311.07
-17,-11,-1,2308.84,1421.08
-17,-3,-3,117392.69,8055.42
-17,5,-5,736.15,1320.72
-17,11,-7,-569.45,1074.68
-16,-6,-2,5049.51,2207.19
-16,2,-4,1973.02,1586.26
-16,10,-6,1275.13,1112.9
-15,-9,-1,826.31,1522.8
-15,-1,-3,9126.79,2505.16
-15,7,-5,1805.8,1178.97
-15,13,-7,1434.27,1009.64
-14,-14,0,773.72,1171.33
-14,-4,-2,26768.4,3146.72
-14,4,-4,431.33,1324.57
-13,-17,1,1001.8,1071.38
-13,-7,-1,3341.14,1647.21
-13,1,-3,15010.28,1800.07
-13,9,-5,1514.39,1083.02
-13,15,-7,933.06,977.6
-12,-12,0,1268.84,1171.77
-12,-10,0,790.98,1294.04
-12,-2,-2,477399.97,7669.09
-12,6,-4,1228.95,1179.48
-12,12,-6,1102.93,974.92
-11,-15,1,840.25,1076.02
-11,-5,-1,22166.02,1957.52
-11,3,-3,7672.27,1419.79
-11,17,-7,-66.45,933.7
-10,-8,0,2211.92,1356.71
-10,0,-2,95753.66,2423.71
-10,14,-6,464.88,938.35
-9,-13,1,1276.14,1042.23
-9,-3,-1,113121.41,2858.05
-9,5,-3,18382.0,1277.73
-9,11,-5,1482.19,986.96
-9,17,-7,871.51,938.37
-8,-18,2,-190.47,964.07
-8,-16,2,905.61,1004.94
-8,2,-2,97280.06,1870.39
-7,-11,1,1931.95,1055.57
-7,13,-5,1588.86,944.03
-7,19,-7,1105.11,901.45
-6,-16,2,2509.28,976.94
-6,-14,2,377.24,968.15
-6,10,-4,9535.89,1039.71
-6,16,-6,300.24,898.35
-5,-19,3,515.99,929.53
-5,-9,1,27364.6,1234.09
-4,-12,2,1177.8,974.57
-4,12,-4,6709.92,984.31
-4,18,-6,179.84,896.49
-3,-17,3,1027.03,928.11
-3,-7,1,43549.04,1295.91
-3,9,-3,16059.92,1076.21
-3,15,-5,1123.57,904.77
-2,-10,2,758.3,980.24
-2,6,-2,5923.07,1080.32
-1,-15,3,1125.02,937.52
-1,-5,1,84203.73,1544.82
-1,3,-1,122645.76,1797.9
-1,17,-5,844.5,902.35
0,-20,4,719.21,891.64
0,14,-4,2305.14,955.73
0,20,-6,720.03,900.76
1,-13,3,1540.24,939.99
1,11,-3,4249.68,979.08
1,17,-5,960.68,905.61
2,-18,4,457.36,895.03
2,20,-6,642.9,940.74
3,-11,3,4577.22,964.96
3,13,-3,2274.56,952.13
3,19,-5,933.34,901.65
4,-16,4,1080.58,895.23
4,-6,2,67538.98,1401.39
4,10,-2,23549.42,1122.25
4,16,-4,1361.16,948.65
5,-9,3,6440.87,1021.57
5,-1,1,196563.23,2417.42
5,7,-1,25341.84,1286.99
5,13,-3,2050.28,986.42
5,19,-5,682.08,941.15
6,-14,4,1107.93,939.7
6,-4,2,83535.98,1566.94
6,4,0,82701.39,1849.28
7,-19,5,855.86,890.52
7,-9,3,6729.19,1013.07
7,15,-3,683.26,977.82
8,-12,4,3342.52,951.87
8,12,-2,349.07,1082.13
8,18,-4,788.27,970.85
9,-19,5,672.76,888.22
9,-17,5,430.68,928.18
9,-7,3,8704.39,1120.59
9,9,-1,6071.86,1240.91
9,15,-3,404.91,1009.68
10,-12,4,948.54,970.59
10,-2,2,683.07,1562.92
10,6,0,25698.6,1637.17
10,12,-2,2360.72,1124.34
10,18,-4,328.59,971.78
11,-17,5,690.33,929.62
11,-15,5,138.97,925.4
12,-10,4,158.57,1041.01
12,14,-2,1577.74,1119.02
13,-15,5,116.97,927.49
13,-5,3,6539.48,1294.45
13,3,1,105499.59,5298.23
13,11,-1,1184.73,1269.8
13,17,-3,794.55,1075.54
14,-10,4,1000.82,1078.53
14,-8,4,203.9,1143.46
14,0,2,14704.44,2204.16
14,8,0,2028.58,1529.14
14,14,-2,9.51,1170.31
15,-13,5,940.7,1003.63
15,11,-1,1079.93,1322.66
16,-8,4,758.82,1146.47
16,0,2,2906.55,2138.91
16,8,0,2339.57,1644.36
16,14,-2,124.98,1202.33
17,-3,3,1934.56,1524.59
17,5,1,8474.67,2664.87
17,11,-1,1899.9,1403.75
18,-8,4,614.23,1198.24
18,2,2,7425.55,3213.22
18,8,0,6298.72,1784.04
19,-3,3,1377.57,1546.91
19,5,1,9914.08,4154.13
20,-6,4,834.29,1315.06
20,2,2,8205.35,3241.15
21,-1,3,2122.43,1883.6
-21,1,-5,2579.32,1776.34
-20,-2,-4,7392.17,3515.0
-19,-5,-3,8061.12,3642.39
-19,3,-5,1675.72,1495.53
-18,-8,-2,3111.43,1859.61
-18,0,-4,4032.93,1991.04
-18,8,-6,591.73,1170.1
-17,-13,-1,1757.93,1311.07
-17,-11,-1,2308.84,1421.08
-17,-3,-3,117392.69,8055.42
-17,5,-5,736.15,1320.72
-17,11,-7,-569.45,1074.68
-16,-6,-2,5049.51,2207.19
-16,2,-4,1973.02,1586.26
-15,-9,-1,826.31,1522.8
-15,-1,-3,9126.79,2505.16
-15,7,-5,1805.8,1178.97
-15,13,-7,1434.27,1009.64
-14,-14,0,773.72,1171.33
-14,-4,-2,26768.4,3146.72
-14,4,-4,431.33,1324.57
-14,10,-6,697.56,1042.76
-13,-17,1,1001.8,1071.38
-13,-7,-1,3341.14,1647.21
-13,1,-3,15010.28,1800.07
-13,9,-5,1514.39,1083.02
-13,15,-7,933.06,977.6
-12,-10,0,790.98,1294.04
-12,-2,-2,477399.97,7669.09
-12,6,-4,1228.95,1179.48
-12,12,-6,1102.93,974.92
-11,-15,1,840.25,1076.02
-11,-5,-1,22166.02,1957.52
-11,3,-3,7672.27,1419.79
-10,-18,2,964.15,1007.13
-10,-8,0,2211.92,1356.71
-10,0,-2,95753.66,2423.71
-10,14,-6,464.88,938.35
-9,-13,1,1276.14,1042.23
-9,-3,-1,113121.41,2858.05
-9,5,-3,18382.0,1277.73
-9,11,-5,1482.19,986.96
-9,17,-7,871.51,938.37
-8,-18,2,-190.47,964.07
-8,-16,2,905.61,1004.94
-8,2,-2,97280.06,1870.39
-7,-11,1,1931.95,1055.57
-7,13,-5,1588.86,944.03
-7,19,-7,1105.11,901.45
-6,-14,2,377.24,968.15
-6,10,-4,9535.89,1039.71
-6,16,-6,300.24,898.35
-5,-19,3,515.99,929.53
-5,-9,1,27364.6,1234.09
-5,19,-7,901.17,899.89
-4,-12,2,1177.8,974.57
-4,12,-4,6709.92,984.31
-4,18,-6,179.84,896.49
-3,-17,3,1027.03,928.11
-3,-7,1,43549.04,1295.91
-3,9,-3,16059.92,1076.21
-3,15,-5,1123.57,904.77
-2,-10,2,758.3,980.24
-2,6,-2,5923.07,1080.32
-2,18,-6,745.25,900.23
-1,-15,3,1125.02,937.52
-1,-5,1,84203.73,1544.82
-1,3,-1,122645.76,1797.9
-1,17,-5,844.5,902.35
0,-20,4,719.21,891.64
0,14,-4,2305.14,955.73
0,20,-6,720.03,900.76
1,-13,3,1540.24,939.99
1,11,-3,4249.68,979.08
1,17,-5,960.68,905.61
2,-18,4,457.36,895.03
2,20,-6,642.9,940.74
3,-11,3,4577.22,964.96
3,19,-5,933.34,901.65
4,-16,4,1080.58,895.23
4,-6,2,67538.98,1401.39
4,10,-2,23549.42,1122.25
4,16,-4,1361.16,948.65
5,-9,3,6440.87,1021.57
5,-1,1,196563.23,2417.42
5,7,-1,25341.84,1286.99
5,13,-3,2050.28,986.42
5,19,-5,682.08,941.15
6,-14,4,1107.93,939.7
6,-4,2,83535.98,1566.94
6,4,0,82701.39,1849.28
7,-19,5,855.86,890.52
7,-9,3,6729.19,1013.07
8,-12,4,3342.52,951.87
8,12,-2,349.07,1082.13
8,18,-4,788.27,970.85
9,-19,5,672.76,888.22
9,-17,5,430.68,928.18
9,-7,3,8704.39,1120.59
9,9,-1,6071.86,1240.91
9,15,-3,404.91,1009.68
10,-12,4,948.54,970.59
10,-2,2,683.07,1562.92
10,6,0,25698.6,1637.17
10,12,-2,2360.72,1124.34
10,18,-4,328.59,971.78
11,-17,5,690.33,929.62
11,-15,5,138.97,925.4
11,9,-1,5072.81,1317.91
12,-10,4,158.57,1041.01
13,-15,5,116.97,927.49
13,-5,3,6539.48,1294.45
13,3,1,105499.59,5298.23
13,11,-1,1184.73,1269.8
13,17,-3,794.55,1075.54
14,-10,4,1000.82,1078.53
14,-8,4,203.9,1143.46
14,0,2,14704.44,2204.16
14,8,0,2028.58,1529.14
14,14,-2,9.51,1170.31
15,-13,5,940.7,1003.63
15,11,-1,1079.93,1322.66
16,-8,4,758.82,1146.47
16,8,0,2339.57,1644.36
16,14,-2,124.98,1202.33
17,-3,3,1934.56,1524.59
17,5,1,8474.67,2664.87
17,11,-1,1899.9,1403.75
18,-8,4,614.23,1198.24
18,2,2,7425.55,3213.22
18,8,0,6298.72,1784.04
19,-3,3,1377.57,1546.91
19,5,1,9914.08,4154.13
20,-6,4,834.29,1315.06
20,2,2,8205.35,3241.15
21,-1,3,2122.43,1883.6
-21,1,-5,2579.32,1776.34
-20,-2,-4,7392.17,3515.0
-19,-5,-3,8061.12,3642.39
-19,3,-5,1675.72,1495.53
-18,-8,-2,3111.43,1859.61
-18,0,-4,4032.93,1991.04
-18,8,-6,591.73,1170.1
-17,-13,-1,1757.93,1311.07
-17,-11,-1,2308.84,1421.08
-17,-3,-3,117392.69,8055.42
-17,5,-5,736.15,1320.72
-17,11,-7,-569.45,1074.68
-16,-6,-2,5049.51,2207.19
-16,2,-4,1973.02,1586.26
-15,-9,-1,826.31,1522.8
-15,-1,-3,9126.79,2505.16
-15,7,-5,1805.8,1178.97
-15,13,-7,1434.27,1009.64
-14,-14,0,773.72,1171.33
-14,-4,-2,26768.4,3146.72
-14,4,-4,431.33,1324.57
-14,10,-6,697.56,1042.76
-13,-17,1,1001.8,1071.38
-13,-7,-1,3341.14,1647.21
-13,1,-3,15010.28,1800.07
-13,15,-7,933.06,977.6
-12,-10,0,790.98,1294.04
-12,-2,-2,477399.97,7669.09
-12,6,-4,1228.95,1179.48
-12,12,-6,1102.93,974.92
-11,-15,1,840.25,1076.02
-11,-5,-1,22166.02,1957.52
-11,3,-3,7672.27,1419.79
-10,-18,2,964.15,1007.13
-10,-8,0,2211.92,1356.71
-10,0,-2,95753.66,2423.71
-10,14,-6,464.88,938.35
-9,-13,1,1276.14,1042.23
-9,-3,-1,113121.41,2858.05
-9,5,-3,18382.0,1277.73
-9,11,-5,1482.19,986.96
-9,17,-7,871.51,938.37
-8,-18,2,-190.47,964.07
-8,-16,2,905.61,1004.94
-8,-6,0,9147.79,1450.46
-8,2,-2,97280.06,1870.39
-7,-11,1,1931.95,1055.57
-7,13,-5,1588.86,944.03
-7,19,-7,1105.11,901.45
-6,-14,2,377.24,968.15
-6,10,-4,9535.89,1039.71
-6,16,-6,300.24,898.35
-5,-19,3,515.99,929.53
-5,-9,1,27364.6,1234.09
-5,19,-7,901.17,899.89
-4,-12,2,1177.8,974.57
-4,12,-4,6709.92,984.31
-4,18,-6,179.84,896.49
-3,-17,3,1027.03,928.11
-3,-7,1,43549.04,1295.91
-3,9,-3,16059.92,1076.21
-3,15,-5,1123.57,904.77
-2,-10,2,758.3,980.24
-2,6,-2,5923.07,1080.32
-2,18,-6,745.25,900.23
-1,-15,3,1125.02,937.52
-1,-5,1,84203.73,1544.82
-1,3,-1,122645.76,1797.9
0,-20,4,719.21,891.64
0,-18,4,481.77,928.62
0,14,-4,2305.14,955.73
0,20,-6,720.03,900.76
1,-13,3,1540.24,939.99
1,11,-3,4249.68,979.08
1,17,-5,960.68,905.61
2,-18,4,457.36,895.03
2,20,-6,642.9,940.74
3,-11,3,4577.22,964.96
3,19,-5,933.34,901.65
4,-16,4,1080.58,895.23
4,-6,2,67538.98,1401.39
4,10,-2,23549.42,1122.25
4,16,-4,1361.16,948.65
5,-9,3,6440.87,1021.57
5,-1,1,196563.23,2417.42
5,7,-1,25341.84,1286.99
5,13,-3,2050.28,986.42
5,19,-5,682.08,941.15
6,-14,4,1107.93,939.7
6,-4,2,83535.98,1566.94
6,4,0,82701.39,1849.28
7,-19,5,855.86,890.52
8,-12,4,3342.52,951.87
8,12,-2,349.07,1082.13
8,18,-4,788.27,970.85
9,-19,5,672.76,888.22
9,-17,5,430.68,928.18
9,-7,3,8704.39,1120.59
9,9,-1,6071.86,1240.91
9,15,-3,404.91,1009.68
10,-12,4,948.54,970.59
10,-2,2,683.07,1562.92
10,6,0,25698.6,1637.17
10,12,-2,2360.72,1124.34
10,18,-4,328.59,971.78
11,-17,5,690.33,929.62
11,-15,5,138.97,925.4
11,9,-1,5072.81,1317.91
12,-10,4,158.57,1041.01
12,6,0,7127.91,1688.32
13,-15,5,116.97,927.49
13,-5,3,6539.48,1294.45
13,3,1,105499.59,5298.23
13,11,-1,1184.73,1269.8
13,17,-3,794.55,1075.54
14,-8,4,203.9,1143.46
14,0,2,14704.44,2204.16
14,14,-2,9.51,1170.31
15,-13,5,940.7,1003.63
15,-3,3,1988.08,1507.24
15,11,-1,1079.93,1322.66
16,-8,4,758.82,1146.47
16,8,0,2339.57,1644.36
16,14,-2,124.98,1202.33
17,-3,3,1934.56,1524.59
17,5,1,8474.67,2664.87
17,11,-1,1899.9,1403.75
18,-8,4,614.23,1198.24
18,-6,4,2853.06,1270.57
18,2,2,7425.55,3213.22
18,8,0,6298.72,1784.04
19,-3,3,1377.57,1546.91
19,5,1,9914.08,4154.13
20,-6,4,834.29,1315.06
20,2,2,8205.35,3241.15
21,-1,3,2122.43,1883.6
-21,1,-5,2579.32,1776.34
-20,-2,-4,7392.17,3515.0
-19,-5,-3,8061.12,3642.39
-19,3,-5,1675.72,1495.53
-18,-8,-2,3111.43,1859.61
-18,0,-4,4032.93,1991.04
-18,8,-6,591.73,1170.1
-17,-13,-1,1757.93,1311.07
-17,-11,-1,2308.84,1421.08
-17,-3,-3,117392.69,8055.42
-17,5,-5,736.15,1320.72
-17,11,-7,-569.45,1074.68
-16,-6,-2,5049.51,2207.19
-16,2,-4,1973.02,1586.26
-15,-9,-1,826.31,1522.8
-15,-1,-3,9126.79,2505.16
-15,7,-5,1805.8,1178.97
-15,13,-7,1434.27,1009.64
-14,-14,0,773.72,1171.33
-14,-12,0,875.78,1256.16
-14,-4,-2,26768.4,3146.72
-14,4,-4,431.33,1324.57
-14,10,-6,697.56,1042.76
-13,-17,1,1001.8,1071.38
-13,-7,-1,3341.14,1647.21
-13,1,-3,15010.28,1800.07
-13,15,-7,933.06,977.6
-12,-10,0,790.98,1294.04
-12,-2,-2,477399.97,7669.09
-12,6,-4,1228.95,1179.48
-12,12,-6,1102.93,974.92
-11,-15,1,840.25,1076.02
-11,-5,-1,22166.02,1957.52
-11,3,-3,7672.27,1419.79
-11,15,-7,372.58,975.0
-10,-18,2,964.15,1007.13
-10,-8,0,2211.92,1356.71
-10,0,-2,95753.66,2423.71
-10,14,-6,464.88,938.35
-9,-13,1,1276.14,1042.23
-9,-3,-1,113121.41,2858.05
-9,5,-3,18382.0,1277.73
-9,11,-5,1482.19,986.96
-9,17,-7,871.51,938.37
-8,-18,2,-190.47,964.07
-8,-16,2,905.61,1004.94
-8,-6,0,9147.79,1450.46
-8,2,-2,97280.06,1870.39
-7,-11,1,1931.95,1055.57
-7,13,-5,1588.86,944.03
-7,19,-7,1105.11,901.45
-6,-14,2,377.24,968.15
-6,10,-4,9535.89,1039.71
-6,16,-6,300.24,898.35
-5,-19,3,515.99,929.53
-5,7,-3,30404.97,1196.41
-5,19,-7,901.17,899.89
-4,-12,2,1177.8,974.57
-4,18,-6,179.84,896.49
-3,-17,3,1027.03,928.11
-3,9,-3,16059.92,1076.21
-3,15,-5,1123.57,904.77
-2,-20,4,686.96,894.23
-2,-10,2,758.3,980.24
-2,6,-2,5923.07,1080.32
-2,12,-4,79.32,942.59
-2,18,-6,745.25,900.23
-1,-15,3,1125.02,937.52
-1,-5,1,84203.73,1544.82
-1,3,-1,122645.76,1797.9
0,-20,4,719.21,891.64
0,-18,4,481.77,928.62
0,-8,2,1759.55,993.22
0,14,-4,2305.14,955.73
0,20,-6,720.03,900.76
1,-13,3,1540.24,939.99
1,11,-3,4249.68,979.08
1,17,-5,960.68,905.61
2,-18,4,457.36,895.03
2,-16,4,275.73,891.47
2,20,-6,642.9,940.74
3,-11,3,4577.22,964.96
4,-16,4,1080.58,895.23
4,-6,2,67538.98,1401.39
4,10,-2,23549.42,1122.25
4,16,-4,1361.16,948.65
5,-19,5,684.37,888.87
5,-9,3,6440.87,1021.57
5,-1,1,196563.23,2417.42
5,7,-1,25341.84,1286.99
5,13,-3,2050.28,986.42
5,19,-5,682.08,941.15
6,-14,4,1107.93,939.7
6,-4,2,83535.98,1566.94
6,4,0,82701.39,1849.28
6,10,-2,2793.08,1062.97
6,16,-4,972.78,935.05
7,-19,5,855.86,890.52
8,-12,4,3342.52,951.87
8,12,-2,349.07,1082.13
8,18,-4,788.27,970.85
9,-17,5,430.68,928.18
9,-7,3,8704.39,1120.59
9,9,-1,6071.86,1240.91
9,15,-3,404.91,1009.68
10,-12,4,948.54,970.59
10,-10,4,2205.78,1021.89
10,-2,2,683.07,1562.92
10,6,0,25698.6,1637.17
10,12,-2,2360.72,1124.34
10,18,-4,328.59,971.78
11,-17,5,690.33,929.62
11,-15,5,138.97,925.4
11,-5,3,3776.19,1227.06
11,9,-1,5072.81,1317.91
11,15,-3,688.98,1079.14
12,-10,4,158.57,1041.01
12,6,0,7127.91,1688.32
13,-15,5,116.97,927.49
13,-5,3,6539.48,1294.45
13,3,1,105499.59,5298.23
13,17,-3,794.55,1075.54
14,-8,4,203.9,1143.46
14,0,2,14704.44,2204.16
14,14,-2,9.51,1170.31
15,-13,5,940.7,1003.63
15,-3,3,1988.08,1507.24
15,11,-1,1079.93,1322.66
16,-8,4,758.82,1146.47
16,8,0,2339.57,1644.36
16,14,-2,124.98,1202.33
17,-11,5,1395.72,1074.3
17,-3,3,1934.56,1524.59
17,5,1,8474.67,2664.87
17,11,-1,1899.9,1403.75
18,-8,4,614.23,1198.24
18,-6,4,2853.06,1270.57
18,2,2,7425.55,3213.22
18,8,0,6298.72,1784.04
19,-3,3,1377.57,1546.91
19,5,1,9914.08,4154.13
20,-6,4,834.29,1315.06
20,2,2,8205.35,3241.15
21,-1,3,2122.43,1883.6
-21,1,-5,2579.32,1776.34
-20,-2,-4,7392.17,3515.0
-19,-5,-3,8061.12,3642.39
-19,3,-5,1675.72,1495.53
-18,-8,-2,3111.43,1859.61
-18,0,-4,4032.93,1991.04
-17,-13,-1,1757.93,1311.07
-17,-11,-1,2308.84,1421.08
-17,-3,-3,117392.69,8055.42
-17,5,-5,736.15,1320.72
-17,11,-7,-569.45,1074.68
-16,-6,-2,5049.51,2207.19
-16,2,-4,1973.02,1586.26
-15,-9,-1,826.31,1522.8
-15,-1,-3,9126.79,2505.16
-15,7,-5,1805.8,1178.97
-15,13,-7,1434.27,1009.64
-14,-14,0,773.72,1171.33
-14,-12,0,875.78,1256.16
-14,-4,-2,26768.4,3146.72
-14,4,-4,431.33,1324.57
-14,10,-6,697.56,1042.76
-13,-17,1,1001.8,1071.38
-13,-7,-1,3341.14,1647.21
-13,1,-3,15010.28,1800.07
-13,15,-7,933.06,977.6
-12,-10,0,790.98,1294.04
-12,-2,-2,477399.97,7669.09
-12,6,-4,1228.95,1179.48
-12,12,-6,1102.93,974.92
-11,-15,1,840.25,1076.02
-11,-5,-1,22166.02,1957.52
-11,3,-3,7672.27,1419.79
-11,9,-5,1910.1,1056.54
-11,15,-7,372.58,975.0
-10,-18,2,964.15,1007.13
-10,-8,0,2211.92,1356.71
-10,0,-2,95753.66,2423.71
-10,14,-6,464.88,938.35
-9,-13,1,1276.14,1042.23
-9,-3,-1,113121.41,2858.05
-9,11,-5,1482.19,986.96
-9,17,-7,871.51,938.37
