h,k,l,I,sigma,intensity,frame,gx,gy,gz,g_norm
14,-6,-12,-32.0,1009.65,,,2.03838,2.8618200000000003,0.66762,3.576412056964354
14,-2,-6,1815.8,1207.27,,,2.31188,1.58608,0.40978,2.833435820554261
14,2,0,27934.09,2620.13,,,2.5853800000000002,0.31034,0.15194,2.608368536767763
14,8,8,1526.95,1345.72,,,2.97254,-1.47452,-0.1048,3.319817212136837
15,-5,-11,1024.56,1040.81,,,2.2750600000000003,2.6474,0.66037,3.552564327426036
15,3,1,37520.51,4128.62,,,2.82206,0.09592000000000006,0.14469,2.8273942926482682
15,9,9,1262.68,1319.62,,,3.2092199999999997,-1.6889399999999999,-0.11204999999999996,3.628245655203076
16,-2,-6,1155.23,1205.72,,,2.67158,1.66636,0.39418000000000003,3.173243327953279
16,8,8,1990.53,1420.87,,,3.33224,-1.39424,-0.12040000000000006,3.6141699953377957
16,10,10,955.69,1287.02,,,3.4459000000000004,-1.9033600000000002,-0.11930000000000013,3.938430980682536
17,-5,-11,957.62,1042.4,,,2.6347600000000004,2.7276800000000003,0.64477,3.8468073506350695
