rotation_angle_deg,delta_alpha_deg,beta_deg
-14.783000,0.672190,-0.671785
-14.681000,0.668086,-0.667685
-14.578000,0.663982,-0.663586
-14.476000,0.659878,-0.659486
-14.373000,0.655775,-0.655387
-14.270000,0.651671,-0.651288
-14.168000,0.647567,-0.647188
-14.065000,0.643463,-0.643089
-13.962000,0.639359,-0.638989
-13.860000,0.635255,-0.634890
-13.757000,0.631151,-0.630791
-13.654000,0.627047,-0.626691
-13.552000,0.622943,-0.622592
-13.449000,0.618839,-0.618492
-13.347000,0.614735,-0.614393
-13.244000,0.610631,-0.610294
-13.141000,0.606527,-0.606194
-13.039000,0.602423,-0.602095
-12.936000,0.598319,-0.597995
-12.833000,0.594215,-0.593896
-12.731000,0.590111,-0.589796
-12.628000,0.586007,-0.585697
-12.526000,0.581903,-0.581597
-12.423000,0.577799,-0.577498
-12.320000,0.573695,-0.573399
-12.218000,0.569591,-0.569299
-12.115000,0.565487,-0.565200
-12.012000,0.561383,-0.561100
-11.910000,0.557279,-0.557001
-11.807000,0.553175,-0.552901
-11.704000,0.549071,-0.548802
-11.602000,0.544967,-0.544703
-11.499000,0.540863,-0.540603
-11.397000,0.536759,-0.536504
-11.294000,0.532655,-0.532404
-11.191000,0.528551,-0.528305
-11.089000,0.524447,-0.524205
-10.986000,0.520343,-0.520106
-10.883000,0.516239,-0.516007
-10.781000,0.512135,-0.511907
-10.678000,0.508031,-0.507808
-10.575000,0.503927,-0.503708
-10.473000,0.499823,-0.499609
-10.370000,0.495719,-0.495510
-10.268000,0.491615,-0.491410
-10.165000,0.487512,-0.487311
-10.062000,0.483408,-0.483211
-9.960000,0.479304,-0.479112
-9.857000,0.475200,-0.475013
-9.754000,0.471096,-0.470913
-9.652000,0.466992,-0.466814
-9.549000,0.462888,-0.462714
-9.447000,0.458784,-0.458615
-9.344000,0.454680,-0.454516
-9.241000,0.450576,-0.450416
-9.139000,0.446472,-0.446317
-9.036000,0.442368,-0.442217
-8.933000,0.438264,-0.438118
-8.831000,0.434160,-0.434019
-8.728000,0.430056,-0.429919
-8.625000,0.425952,-0.425820
-8.523000,0.421849,-0.421720
-8.420000,0.417745,-0.417621
-8.318000,0.413641,-0.413522
-8.215000,0.409537,-0.409422
-8.112000,0.405433,-0.405323
-8.010000,0.401329,-0.401224
-7.907000,0.397225,-0.397124
-7.804000,0.393122,-0.393025
-7.702000,0.389018,-0.388926
-7.599000,0.384914,-0.384826
-7.497000,0.380810,-0.380727
-7.394000,0.376707,-0.376628
-7.291000,0.372603,-0.372529
-7.189000,0.368499,-0.368429
-7.086000,0.364395,-0.364330
-6.983000,0.360291,-0.360231
-6.881000,0.356188,-0.356131
-6.778000,0.352084,-0.352032
-6.675000,0.347980,-0.347933
-6.573000,0.343876,-0.343833
-6.470000,0.339773,-0.339734
-6.368000,0.335669,-0.335635
-6.265000,0.331565,-0.331536
-6.162000,0.327461,-0.327436
-6.060000,0.323358,-0.323337
-5.957000,0.319254,-0.319238
-5.854000,0.315150,-0.315138
-5.752000,0.311046,-0.311039
-5.649000,0.306942,-0.306940
-5.546000,0.302839,-0.302841
-5.444000,0.298735,-0.298742
-5.341000,0.294632,-0.294642
-5.239000,0.290528,-0.290543
-5.136000,0.286425,-0.286444
-5.033000,0.282321,-0.282345
-4.931000,0.278218,-0.278246
-4.828000,0.274114,-0.274147
-4.725000,0.270011,-0.270048
-4.623000,0.265907,-0.265948
-4.520000,0.261804,-0.261849
-4.418000,0.257700,-0.257750
-4.315000,0.253597,-0.253651
-4.212000,0.249493,-0.249552
-4.110000,0.245390,-0.245453
