zone_id,alpha_nom_deg,beta_nom_deg,delta_alpha_deg,delta_beta_deg,n_reflections,info
74,-62.303,0.0,62.25305147454436,62.16794023760438,130,"{'status': 'ok', 'success': True, 'cost': 0.09796547908084086, 'nfev': 7}"
75,-62.199999999999996,0.0,62.25320501725743,62.04878152805992,133,"{'status': 'ok', 'success': True, 'cost': 0.10090331903733818, 'nfev': 7}"
76,-62.097,0.0,62.1652306689725,62.0201997791632,131,"{'status': 'ok', 'success': True, 'cost': 0.10039099623574105, 'nfev': 7}"
77,-61.995,0.0,62.14007130441153,61.90666378717222,127,"{'status': 'ok', 'success': True, 'cost': 0.10048922481748446, 'nfev': 7}"
78,-61.892,0.0,61.98950601056829,61.80221854445488,128,"{'status': 'ok', 'success': True, 'cost': 0.10261436522055556, 'nfev': 7}"
79,-61.789,0.0,61.85102380368465,61.89425601298781,125,"{'status': 'ok', 'success': True, 'cost': 0.10118593729886594, 'nfev': 7}"
80,-61.687,0.0,61.68137501613865,61.93903080736426,128,"{'status': 'ok', 'success': True, 'cost': 0.10076172555547765, 'nfev': 7}"
81,-61.584,0.0,61.62561251681548,61.76637265903922,132,"{'status': 'ok', 'success': True, 'cost': 0.107098829680293, 'nfev': 7}"
82,-61.481,0.0,61.50997034190655,61.61686608035138,134,"{'status': 'ok', 'success': True, 'cost': 0.11028033043444951, 'nfev': 7}"
83,-61.379,0.0,61.33834642117835,61.28669147379172,135,"{'status': 'ok', 'success': True, 'cost': 0.10607150286479752, 'nfev': 7}"
84,-61.276,0.0,61.181051957687174,61.17889935824697,134,"{'status': 'ok', 'success': True, 'cost': 0.10682237631745342, 'nfev': 7}"
85,-61.174,0.0,61.02026345531648,61.0505472175926,136,"{'status': 'ok', 'success': True, 'cost': 0.10640449860440412, 'nfev': 7}"
86,-61.071000000000005,0.0,60.88363024401821,60.87724203131219,135,"{'status': 'ok', 'success': True, 'cost': 0.10476865444809506, 'nfev': 7}"
87,-60.968,0.0,60.72414194188884,60.85178320713704,136,"{'status': 'ok', 'success': True, 'cost': 0.10379723769650584, 'nfev': 7}"
88,-60.866,0.0,60.6980219557353,60.80034286035788,132,"{'status': 'ok', 'success': True, 'cost': 0.09900911524116734, 'nfev': 7}"
89,-60.763000000000005,0.0,60.530778442591355,60.64612394904536,136,"{'status': 'ok', 'success': True, 'cost': 0.10467695153493295, 'nfev': 7}"
90,-60.65999999999999,0.0,60.5714787717423,60.698401442040925,138,"{'status': 'ok', 'success': True, 'cost': 0.10463060604153511, 'nfev': 7}"
91,-60.55800000000001,0.0,60.46688053300149,60.500326417219725,137,"{'status': 'ok', 'success': True, 'cost': 0.10429431760647792, 'nfev': 7}"
92,-60.455000000000005,0.0,60.38658038255695,60.553654575159975,138,"{'status': 'ok', 'success': True, 'cost': 0.10345928524563017, 'nfev': 7}"
93,-60.352,0.0,60.29708051693588,60.38101976837371,138,"{'status': 'ok', 'success': True, 'cost': 0.10219386369142983, 'nfev': 7}"
94,-60.25000000000001,0.0,60.153521839490566,60.30176491138455,142,"{'status': 'ok', 'success': True, 'cost': 0.10406857440391357, 'nfev': 7}"
95,-60.14699999999999,0.0,60.07449059014369,60.122074942070725,135,"{'status': 'ok', 'success': True, 'cost': 0.10047908010867404, 'nfev': 7}"
96,-60.04500000000001,0.0,59.85467129820264,60.03318459553852,134,"{'status': 'ok', 'success': True, 'cost': 0.0982276472956225, 'nfev': 7}"
97,-59.94200000000001,0.0,59.71778440503549,60.013092564979885,133,"{'status': 'ok', 'success': True, 'cost': 0.09842627132786219, 'nfev': 7}"
98,-59.839,0.0,59.5972474962751,59.86229300430398,135,"{'status': 'ok', 'success': True, 'cost': 0.0990744029395469, 'nfev': 7}"
99,-59.73700000000001,0.0,59.51761175993482,59.81347281477339,135,"{'status': 'ok', 'success': True, 'cost': 0.0954898993846833, 'nfev': 7}"
100,-59.63399999999999,0.0,59.48271947395524,59.78360942960882,139,"{'status': 'ok', 'success': True, 'cost': 0.09943125079645243, 'nfev': 7}"
101,-59.531,0.0,59.34876353887865,59.65942076583999,144,"{'status': 'ok', 'success': True, 'cost': 0.10435378016501057, 'nfev': 7}"
102,-59.42900000000001,0.0,59.250715872602896,59.68337387091654,143,"{'status': 'ok', 'success': True, 'cost': 0.10282059675416017, 'nfev': 7}"
103,-59.32599999999999,0.0,59.13861998804375,59.562834300615755,141,"{'status': 'ok', 'success': True, 'cost': 0.10299136527108159, 'nfev': 7}"
104,-59.224,0.0,59.06317640577286,59.27704399912404,139,"{'status': 'ok', 'success': True, 'cost': 0.10479608400428377, 'nfev': 7}"
105,-59.12100000000001,0.0,59.032387002960576,59.26659103806107,144,"{'status': 'ok', 'success': True, 'cost': 0.10758245814878171, 'nfev': 7}"
106,-59.018,0.0,58.920092996531224,59.07611647248329,148,"{'status': 'ok', 'success': True, 'cost': 0.10983643072312325, 'nfev': 7}"
107,-58.916,0.0,58.8654974034481,58.896261216431476,141,"{'status': 'ok', 'success': True, 'cost': 0.10574244190523405, 'nfev': 7}"
108,-58.812999999999995,0.0,58.81252663451851,58.87443994820664,140,"{'status': 'ok', 'success': True, 'cost': 0.10194742786645056, 'nfev': 7}"
109,-58.71,0.0,58.77294018448453,58.82591368307309,140,"{'status': 'ok', 'success': True, 'cost': 0.1056774459383942, 'nfev': 7}"
110,-58.608,0.0,58.54795165320074,58.56757006981371,139,"{'status': 'ok', 'success': True, 'cost': 0.1041349649835604, 'nfev': 7}"
111,-58.505,0.0,58.286817960082054,58.620816630006104,134,"{'status': 'ok', 'success': True, 'cost': 0.09800685868243066, 'nfev': 7}"
112,-58.402,0.0,58.16868718724619,58.56660577043872,138,"{'status': 'ok', 'success': True, 'cost': 0.10287764858070816, 'nfev': 7}"
113,-58.3,0.0,58.05034554784504,58.4145433036353,138,"{'status': 'ok', 'success': True, 'cost': 0.10345584745524153, 'nfev': 7}"
114,-58.197,0.0,57.97080746992756,58.31311033539282,142,"{'status': 'ok', 'success': True, 'cost': 0.10739489635177465, 'nfev': 7}"
115,-58.095,0.0,57.92609654956478,58.02153074335154,146,"{'status': 'ok', 'success': True, 'cost': 0.11134896357390278, 'nfev': 7}"
116,-57.992,0.0,57.95796898443816,57.80804328960367,145,"{'status': 'ok', 'success': True, 'cost': 0.1083145429820328, 'nfev': 7}"
117,-57.889,0.0,57.87063743907485,57.79151828401268,140,"{'status': 'ok', 'success': True, 'cost': 0.10512428628739937, 'nfev': 7}"
118,-57.787,0.0,57.72178552209732,57.67735176950267,134,"{'status': 'ok', 'success': True, 'cost': 0.10349823930607668, 'nfev': 7}"
119,-57.684000000000005,0.0,57.60187382175803,57.6245990917596,144,"{'status': 'ok', 'success': True, 'cost': 0.11374501984532831, 'nfev': 7}"
120,-57.581,0.0,57.50685961612004,57.41139109645692,147,"{'status': 'ok', 'success': True, 'cost': 0.11371761708880404, 'nfev': 7}"
121,-57.479,0.0,57.40205377527203,57.28592323872672,146,"{'status': 'ok', 'success': True, 'cost': 0.11440557533443554, 'nfev': 7}"
122,-57.376000000000005,0.0,57.400308246202556,57.259178734008024,145,"{'status': 'ok', 'success': True, 'cost': 0.11295352165954553, 'nfev': 7}"
123,-57.274,0.0,57.35087867427906,57.330653102345565,140,"{'status': 'ok', 'success': True, 'cost': 0.11221673993761368, 'nfev': 7}"
124,-57.17100000000001,0.0,57.25256656124832,57.296741153747554,138,"{'status': 'ok', 'success': True, 'cost': 0.108842984535259, 'nfev': 7}"
125,-57.068,0.0,57.17589526630583,57.277982739091826,135,"{'status': 'ok', 'success': True, 'cost': 0.10947352882681136, 'nfev': 7}"
126,-56.966,0.0,57.1017396613384,56.93239661612647,131,"{'status': 'ok', 'success': True, 'cost': 0.10562450095513248, 'nfev': 7}"
127,-56.863,0.0,57.018973424520425,56.81321788360088,133,"{'status': 'ok', 'success': True, 'cost': 0.10617401800683049, 'nfev': 7}"
128,-56.76,0.0,56.875006445647934,56.68850947025709,129,"{'status': 'ok', 'success': True, 'cost': 0.10158651869786853, 'nfev': 7}"
129,-56.65800000000001,0.0,56.886718262099684,56.68644452634306,129,"{'status': 'ok', 'success': True, 'cost': 0.09978676925014776, 'nfev': 7}"
130,-56.555,0.0,56.77939231731598,56.52950500822927,129,"{'status': 'ok', 'success': True, 'cost': 0.099520064372245, 'nfev': 7}"
131,-56.452,0.0,56.710571923557104,56.523657911188174,125,"{'status': 'ok', 'success': True, 'cost': 0.09633188736799676, 'nfev': 7}"
132,-56.35,0.0,56.5544004834087,56.36703338344533,131,"{'status': 'ok', 'success': True, 'cost': 0.09927796126575567, 'nfev': 7}"
133,-56.247,0.0,56.25234396677671,56.276900132432495,137,"{'status': 'ok', 'success': True, 'cost': 0.10818532742405289, 'nfev': 7}"
134,-56.145,0.0,56.08447825633669,56.29740327035258,128,"{'status': 'ok', 'success': True, 'cost': 0.1013376676750325, 'nfev': 7}"
135,-56.042,0.0,56.031338886503825,56.12331097359943,133,"{'status': 'ok', 'success': True, 'cost': 0.10456315546799196, 'nfev': 7}"
136,-55.939,0.0,55.868288330583745,55.9854469131214,135,"{'status': 'ok', 'success': True, 'cost': 0.10209250680723736, 'nfev': 7}"
137,-55.837,0.0,55.67893691882681,55.91359341498386,131,"{'status': 'ok', 'success': True, 'cost': 0.10143116444272053, 'nfev': 7}"
138,-55.734,0.0,55.49914485067777,55.74788094492087,127,"{'status': 'ok', 'success': True, 'cost': 0.09414064332471249, 'nfev': 6}"
139,-55.63100000000001,0.0,55.434403852767176,55.60057250407382,125,"{'status': 'ok', 'success': True, 'cost': 0.09202883623850493, 'nfev': 6}"
140,-55.529,0.0,55.41194033889857,55.433646257580584,131,"{'status': 'ok', 'success': True, 'cost': 0.09990007308504736, 'nfev': 6}"
141,-55.426,0.0,55.40354816144652,55.49306654194325,132,"{'status': 'ok', 'success': True, 'cost': 0.10206677696830907, 'nfev': 6}"
142,-55.323,0.0,55.26155862758458,55.37092274967451,132,"{'status': 'ok', 'success': True, 'cost': 0.10232386308050048, 'nfev': 6}"
143,-55.221,0.0,55.286267866381145,55.29363501429472,131,"{'status': 'ok', 'success': True, 'cost': 0.10545817317613632, 'nfev': 6}"
144,-55.118,0.0,55.19201227431961,55.19893951098291,129,"{'status': 'ok', 'success': True, 'cost': 0.10409913888486423, 'nfev': 6}"
145,-55.016,0.0,55.15597683614931,55.10409511519111,132,"{'status': 'ok', 'success': True, 'cost': 0.10788764976517613, 'nfev': 6}"
146,-54.913,0.0,55.06522651565766,55.00455990358701,131,"{'status': 'ok', 'success': True, 'cost': 0.10669502592960567, 'nfev': 6}"
147,-54.81,0.0,54.93246225739293,54.87176708185671,132,"{'status': 'ok', 'success': True, 'cost': 0.10629519729457765, 'nfev': 6}"
148,-54.708,0.0,54.90244849781822,54.790026013720805,128,"{'status': 'ok', 'success': True, 'cost': 0.10150640151319479, 'nfev': 6}"
149,-54.605,0.0,54.77378839595282,54.608582496610794,126,"{'status': 'ok', 'success': True, 'cost': 0.0965974768725762, 'nfev': 6}"
150,-54.502,0.0,54.70806039511664,54.50507913060147,127,"{'status': 'ok', 'success': True, 'cost': 0.09663257780840499, 'nfev': 6}"
