alpha_center_deg,delta_alpha_deg,beta_deg,z0x,z0y,z0z,x0x,x0y,x0z,smin,n_rows
-45.83,-45.83,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-45.727500000000006,-45.727500000000006,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-45.6245,-45.6245,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-45.522,-45.522,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-45.4195,-45.4195,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-45.316500000000005,-45.316500000000005,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-45.214,-45.214,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-45.11149999999999,-45.11149999999999,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-45.009,-45.009,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-44.906499999999994,-44.906499999999994,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-44.8035,-44.8035,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-44.701,-44.701,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-44.598499999999994,-44.598499999999994,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-44.4955,-44.4955,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-44.39300000000001,-44.39300000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-44.2905,-44.2905,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-44.1875,-44.1875,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-44.08500000000001,-44.08500000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-43.9825,-43.9825,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-43.88,-43.88,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-43.777499999999996,-43.777499999999996,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-43.6745,-43.6745,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-43.572,-43.572,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-43.469500000000004,-43.469500000000004,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-43.3665,-43.3665,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-43.263999999999996,-43.263999999999996,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-43.161500000000004,-43.161500000000004,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-43.059000000000005,-43.059000000000005,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-42.956500000000005,-42.956500000000005,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-42.853500000000004,-42.853500000000004,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-42.751,-42.751,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-42.648500000000006,-42.648500000000006,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-42.545500000000004,-42.545500000000004,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-42.443,-42.443,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-42.340500000000006,-42.340500000000006,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
